"case","city","city_council","day_of_week","ibr_code","location","occur_date","police_grid","police_zone","report_date","ucr_code","ucr_description","x_coordinate","y_coordinate"
"SL20081862","SALT LAKE CITY","4","5","0","600 S 300 W                                                                                             ","01/03/2008","PEF","114","01/03/2008","5499-7","TRAFFIC","1889450","882796"
"SL20081334","SALT LAKE CITY","7","5","0","2500 S 600 E                                                                                             ","01/03/2008","SUG","235","01/03/2008","7399-18","PUBLIC ORDER","1896509","867628"
"SL20082144","SALT LAKE CITY","2","5","0","700 W 200 N                                                                                             ","01/03/2008","STF","132","01/04/2008","5299-0","WEAPON OFFENSE","1885934","889201"
"SL20081846","SALT LAKE CITY","7","5","0","1100 E ASHTON AVE                                                                                        ","01/03/2008","SUG","235","01/03/2008","5499-8","TRAFFIC","1900972","869711"
"SL20081346","SALT LAKE CITY","2","5","0","1800 S 3600 W                                                                                            ","01/03/2008","WSL","154","01/03/2008","5499-8","TRAFFIC","1867927","873434"
"SL20081614","SALT LAKE CITY","1","5","0","5600 W AMELIA EARHART DR                                                                                 ","01/03/2008","JOM","133","01/03/2008","5499-8","TRAFFIC","1854777","890335"
"SL20081509","SALT LAKE CITY","5","5","0","800 E 1300 S                                                                                            ","01/03/2008","EAL","232","01/03/2008","5499-7","TRAFFIC","1898427","877467"
"SL20081210","SALT LAKE CITY","1","5","0","3700 W TERMINAL WESTBOUND DR                                                                             ","01/03/2008","WES","133","01/03/2008","7399-1","PUBLIC ORDER","1866562","893915"
"SL20085628","SALT LAKE CITY","2","5","0","1700 S REDWOOD RD                                                                                        ","01/03/2008","WSL","154","01/09/2008","7399-6","PUBLIC ORDER","1878520","874382"
"SL200811053","SALT LAKE CITY","2","5","23G","2000 S 900 W                                                                                             ","01/03/2008","WSL","153","01/17/2008","2304-0","LARCENY","1884684","872260"
"SL20081504","SALT LAKE CITY","4","5","23F","800 S 1300 E                                                                                            ","01/03/2008","EAC","215","01/03/2008","2305-0","LARCENY","1902125","880879"
"SL20081506","SALT LAKE CITY","7","5","290","2500 S HIGHLAND DR                                                                                       ","01/03/2008","SUG","236","01/03/2008","2902-0","DAMAGED PROP","1901438","868335"
"SL20081571","SALT LAKE CITY","4","5","290","200 S 1000 E                                                                                            ","01/03/2008","EAC","213","01/03/2008","2902-0","DAMAGED PROP","1899832","885819"
"SL20081575","SALT LAKE CITY","5","5","0","600 E 1300 S                                                                                            ","01/03/2008","WEL","232","01/03/2008","7399-6","PUBLIC ORDER","1896602","877473"
"SL20081153","SALT LAKE CITY","4","5","0","400 E 400 S                                                                                             ","01/03/2008","CEC","212","01/03/2008","5399-28","PUBLIC PEACE","1895605","884411"
"SL20081177","SALT LAKE CITY","4","5","23F","400 S WEST TEMPLE ST                                                                                    ","01/03/2008","DTN","115","01/03/2008","2305-0","LARCENY","1891041","884374"
"SL20081222","SALT LAKE CITY","7","5","23F","1700 S 900 E                                                                                             ","01/03/2008","SUG","235","01/03/2008","2305-0","LARCENY","1898927","873770"
"SL20081258","SALT LAKE CITY","6","5","290","1600 E 2100 S                                                                                            ","01/03/2008","SUG","236","01/03/2008","2902-0","DAMAGED PROP","1905039","871571"
"SL20081265","SALT LAKE CITY","5","5","23F","1800 S 300 E                                                                                             ","01/03/2008","LIW","234","01/03/2008","2305-0","LARCENY","1894173","873282"
"SL20081281","SALT LAKE CITY","7","5","290","2800 S HIGHLAND DR                                                                                       ","01/03/2008","SUG","235","01/03/2008","2902-0","DAMAGED PROP","1902091","865258"
"SL20081282","SALT LAKE CITY","1","5","23F","400 N REDWOOD RD                                                                                        ","01/03/2008","JOM","133","01/03/2008","2305-0","LARCENY","1878488","891407"
"SL20081285","SALT LAKE CITY","4","5","23H","500 S 500 E                                                                                             ","01/03/2008","CEC","214","01/03/2008","2309-0","LARCENY","1895794","883336"
"SL20081303","SALT LAKE CITY","4","5","23F","300 E 400 S                                                                                             ","01/03/2008","CEC","214","01/03/2008","2305-0","LARCENY","1894418","884355"
"SL20081367","SALT LAKE CITY","5","5","0","1700 S 300 E                                                                                             ","01/03/2008","LIW","234","01/03/2008","7399-6","PUBLIC ORDER","1894177","874340"
"SL20081412","SALT LAKE CITY","7","5","23F","2900 S HIGHLAND DR                                                                                       ","01/03/2008","SUG","235","01/03/2008","2305-0","LARCENY","1902201","864970"
"SL2008945","MAGNA",,"2","35A",,"01/07/2008","11","11","01/07/2008","3571-0","DRUGS","1826034","884694"
"SL20081426","SALT LAKE CITY","4","5","0","600 E 500 S                                                                                             ","01/03/2008","CEC","214","01/03/2008","7399-6","PUBLIC ORDER","1897099","883554"
"SL20081466","SALT LAKE CITY","1","5","23F","400 N REDWOOD RD                                                                                        ","01/03/2008","JOM","133","01/03/2008","2305-0","LARCENY","1878488","891407"
"SL20081796","SALT LAKE CITY","4","5","23D","200 S WEST TEMPLE ST                                                                                    ","01/03/2008","DTN","113","01/03/2008","2308-0","LARCENY","1891047","885971"
"SL20081866","SALT LAKE CITY","2","5","23D","1900 S 4650 W                                                                                            ","01/03/2008","WSL","154","01/03/2008","2308-0","LARCENY","1861022","872494"
