"case","city","city_council","day_of_week","ibr_code","location","occur_date","police_gird","police_zone","report_date","ucr_code","ucr_description","x_coordinate","y_coordinate"
"SL20103022","SALT LAKE CITY","7","6","23D","900 E SIMPSON AVE                                                                                       ","01/01/2010 12:00:00 AM","SUG","235","2010-01-06T00:00:00.000","2308-0","LARCENY","1899313","870209"
"SL20103600","SALT LAKE CITY","2","6","290","3700 W 800 S                                                                                             ","01/01/2010 12:00:00 AM","POP","154","2010-01-07T00:00:00.000","2902-0","DAMAGED PROP","1867163","881204"
"SL20104516","SALT LAKE CITY",,"6","90Z","1100 S MONTGOMERY ST                                                                                     ","01/01/2010 12:00:00 AM","WSL","152","2010-01-01T00:00:00.000","4902-0","ESCAPE","1879413","878663"
"SL2010800020","SALT LAKE CITY","5","6","23D","1400 S STATE ST                                                                                          ","01/01/2010 12:00:00 AM","PEF","231","2010-01-08T00:00:00.000","2308-0","LARCENY","1892594","875822"
"SL20108214","SALT LAKE CITY",,"6","90Z","300 W HOPE AVE                                                                                          ","01/01/2010 12:00:00 AM","PEF","231","2010-01-01T00:00:00.000","4902-0","ESCAPE","1889051","876511"
"SL201012132","SALT LAKE CITY","5","6","26A","1900 S 400 E                                                                                             ","01/01/2010 12:00:00 AM","LIW","234","2010-01-21T00:00:00.000","2699-0","FRAUD","1894959","872113"
"SL201023450","SALT LAKE CITY","2","6","220","1600 W 400 S                                                                                             ","01/01/2010 12:00:00 AM","POP","151","2010-02-08T00:00:00.000","2203-0","BURGLARY","1879308","884411"
"SL201030666","SALT LAKE CITY","2","6","90Z","1100 W ONTARIO DR                                                                                        ","01/01/2010 12:00:00 AM","WSL","152","2010-02-20T00:00:00.000","5401-0","TRAFFIC","1882983","877630"
"SL201072785","SALT LAKE CITY","1","6","290","3700 W TERMINAL WESTBOUND DR                                                                             ","01/01/2010 12:00:00 AM","WES","133","2010-04-28T00:00:00.000","2903-0","DAMAGED PROP","1866562","893915"
"SL2011587","SALT LAKE CITY",,"6","0","000 CALIFORNIA AVE                                                                                      ","01/01/2010 12:00:00 AM","WSL","153","2011-01-01T00:00:00.000","5499-7","TRAFFIC","1884704","877089"
"SL2012800138","WHITE CITY",,"6","26C",,"01/01/2010 12:00:00 AM","27","27","2012-01-24T00:00:00.000","2699-1","FRAUD","1898857","814168"
"SL201331236","SALT LAKE CITY","4","6","90Z","300 E 200 S                                                                                             ","01/01/2010 12:00:00 AM","142","Z4","2013-02-28T00:00:00.000","6407-0","EXPLOITATION","1894390","886000"
"SL2013801975","SALT LAKE CITY","2","6","26C","1700 W 2100 S                                                                                            ","01/01/2010 12:00:00 AM","124","Z2","2013-12-25T00:00:00.000","2699-1","FRAUD","1878138","871816"
"SL2014804262","SALT LAKE CITY","2","6","26C","1700 W 2100 S                                                                                            ","01/01/2010 12:00:00 AM","124","Z2","2014-10-28T00:00:00.000","2699-1","FRAUD","1878138","871816"
"SL2010621","SALT LAKE CITY",,"7","0","000 CLEVELAND AVE                                                                                       ","01/02/2010 12:00:00 AM","LIW","231","2010-01-02T00:00:00.000","5499-5","TRAFFIC","1892626","876267"
"SL2010632","SALT LAKE CITY","1","7","0","1700 W SHANNON CIR                                                                                       ","01/02/2010 12:00:00 AM","JOM","133","2010-01-02T00:00:00.000","7399-6","PUBLIC ORDER","1877671","891071"
"SL2010661","SALT LAKE CITY","4","7","23C","400 S WEST TEMPLE ST                                                                                    ","01/02/2010 12:00:00 AM","DTN","115","2010-01-02T00:00:00.000","2303-0","LARCENY","1891041","884344"
"SL2010654","SALT LAKE CITY","4","7","23D","000 E 600 S                                                                                             ","01/02/2010 12:00:00 AM","PEF","115","2010-01-02T00:00:00.000","2308-0","LARCENY","1892068","882780"
"SL2010622","SALT LAKE CITY","4","7","13B","000 E 600 S                                                                                             ","01/02/2010 12:00:00 AM","PEF","115","2010-01-02T00:00:00.000","1313-0","ASSAULT","1892068","882780"
"SL2010666","SALT LAKE CITY","4","7","90J","200 W 200 S                                                                                             ","01/02/2010 12:00:00 AM","DTN","112","2010-01-02T00:00:00.000","5707-0","INV OF PRIVACY","1890027","886017"
"SL2010665","SALT LAKE CITY","4","7","23F","200 W 200 S                                                                                             ","01/02/2010 12:00:00 AM","DTN","112","2010-01-02T00:00:00.000","2305-0","LARCENY","1890261","886016"
"SL2010662","SALT LAKE CITY","5","7","120","100 W 1300 S                                                                                            ","01/02/2010 12:00:00 AM","PEF","231","2010-01-02T00:00:00.000","1203-0","ROBBERY","1890899","877492"
"SL2010634","SALT LAKE CITY","4","7","13B","100 S 600 W                                                                                             ","01/02/2010 12:00:00 AM","DTN","112","2010-01-02T00:00:00.000","1313-0","ASSAULT","1887090","886752"
"SL2010687","SALT LAKE CITY","2","7","120","1600 S REDWOOD RD                                                                                        ","01/02/2010 12:00:00 AM","WSL","153","2010-01-02T00:00:00.000","1204-0","ROBBERY","1878581","874440"
"SL2010695","SALT LAKE CITY","2","7","220","1300 S SWANER RD                                                                                         ","01/02/2010 12:00:00 AM","WSL","154","2010-01-02T00:00:00.000","2203-0","BURGLARY","1875085","877557"
"SL2010705","SALT LAKE CITY","1","7","240","1700 W NORTH TEMPLE ST                                                                                   ","01/02/2010 12:00:00 AM","JOM","133","2010-01-02T00:00:00.000","2499-13","STOLEN VEHICLE","1878101","888450"
"SL2010660","SALT LAKE CITY","4","7","90I","600 S 800 E                                                                                             ","01/02/2010 12:00:00 AM","EAC","215","2010-01-02T00:00:00.000","5324-0","PUBLIC PEACE","1898168","882301"
"SL2010680","SALT LAKE CITY","5","7","90Z","1300 S 200 E                                                                                             ","01/02/2010 12:00:00 AM","LIW","231","2010-01-02T00:00:00.000","4902-0","ESCAPE","1893392","877348"
"SL2010683","SALT LAKE CITY","2","7","90D","900 W GENESEE AVE                                                                                       ","01/02/2010 12:00:00 AM","POP","152","2010-01-02T00:00:00.000","5499-44","TRAFFIC","1884458","880823"
"SL2010686","SALT LAKE CITY","5","7","0","900 S 400 E                                                                                             ","01/02/2010 12:00:00 AM","WEL","232","2010-01-02T00:00:00.000","5399-28","PUBLIC PEACE","1894988","879681"
"SL2010692","SALT LAKE CITY",,"7","35B","000 MAIN ST                                                                                             ","01/02/2010 12:00:00 AM","PEF","231","2010-01-02T00:00:00.000","3550-0","DRUGS","1891831","875695"
"SL2010750","SALT LAKE CITY","2","7","240","100 N REDWOOD RD                                                                                        ","01/02/2010 12:00:00 AM","JOM","132","2010-01-02T00:00:00.000","2499-13","STOLEN VEHICLE","1878570","889095"
"SL2010749","SALT LAKE CITY","1","7","290","500 N TERMINAL NORTHBOUND DR                                                                            ","01/02/2010 12:00:00 AM","JOM","133","2010-01-02T00:00:00.000","2901-0","DAMAGED PROP","1866905","891511"
"SL2010716","SALT LAKE CITY","5","7","0","1600 S MAIN ST                                                                                           ","01/02/2010 12:00:00 AM","PEF","231","2010-01-02T00:00:00.000","5499-7","TRAFFIC","1891857","874542"
"SL2010753","SALT LAKE CITY","3","7","0","200 N K ST                                                                                              ","01/02/2010 12:00:00 AM","AVE","211","2010-01-02T00:00:00.000","5499-8","TRAFFIC","1898153","889918"
"SL2010771","SALT LAKE CITY","1","7","0","500 N TERMINAL SOUTHBOUND DR                                                                            ","01/02/2010 12:00:00 AM","JOM","133","2010-01-02T00:00:00.000","5399-28","PUBLIC PEACE","1865746","891599"
"SL2010742","SALT LAKE CITY","1","7","23G","4800 W DOUGLAS CORRIGAN WAY                                                                              ","01/02/2010 12:00:00 AM","JOM","133","2010-01-02T00:00:00.000","2304-0","LARCENY","1859767","888462"
"SL2010741","SALT LAKE CITY","5","7","220","1200 S 900 E                                                                                             ","01/02/2010 12:00:00 AM","EAL","232","2010-01-02T00:00:00.000","2203-0","BURGLARY","1898942","877449"
"SL2010736","SALT LAKE CITY",,"7","0",,"01/02/2010 12:00:00 AM","40","40","2010-01-02T00:00:00.000","7399-1","PUBLIC ORDER","1867367","893605"
"SL2010815","SALT LAKE CITY","6","7","0","800 S FOOTHILL DR                                                                                       ","01/02/2010 12:00:00 AM","FOS","233","2010-01-02T00:00:00.000","5499-6","TRAFFIC","1907494","880517"
"SL2010791","SALT LAKE CITY","1","7","290","400 N 1400 W                                                                                            ","01/02/2010 12:00:00 AM","STF","132","2010-01-02T00:00:00.000","2902-0","DAMAGED PROP","1880871","890803"
"SL20106941","SALT LAKE CITY",,"4","13B",,"01/13/2010 12:00:00 AM","40","40","2010-01-13T00:00:00.000","1313-0","ASSAULT","1866812","891526"
"SL2010811","SALT LAKE CITY","1","7","290","500 N TERMINAL NORTHBOUND DR                                                                            ","01/02/2010 12:00:00 AM","JOM","133","2010-01-02T00:00:00.000","2901-0","DAMAGED PROP","1866905","891511"
"SL2010784","SALT LAKE CITY","4","7","220","300 E 400 S                                                                                             ","01/02/2010 12:00:00 AM","CEC","212","2010-01-02T00:00:00.000","2203-0","BURGLARY","1894816","884414"
"SL2010754","SALT LAKE CITY","7","7","90C","500 E COMMONWEALTH AVE                                                                                  ","01/02/2010 12:00:00 AM","SUG","235","2010-01-02T00:00:00.000","5399-12","PUBLIC PEACE","1896179","871266"
