"case","city","city_council","day_of_week","ibr_code","location","occ_date","police_grid","police_zone","report_date","ucr_code","ucr_description","x_coordinate","y_coordinate"
"SL201126829","SALT LAKE CITY","4","3","90Z",,,"B1","212","2011-02-15T16:15:52.000","3599-99","DRUGS","1893430","885973"
"SL201128347","SALT LAKE COUNTY",,"5","90Z",,,,,"2011-02-17T22:48:10.000","4902-0","ESCAPE",,
"SL201128410","SANDY","SL","6","35B",,,"51","51","2011-02-18T00:45:19.000","3550-0","DRUGS","1893394","823473"
"SL201128954","SALT LAKE CITY","1","6","90I",,,"A3","133","2011-02-18T21:05:29.000","5324-0","PUBLIC PEACE","1866905","891511"
"SL201129059",,,"6","0",,,,,"2011-02-18T23:56:44.000","5499-2","TRAFFIC",,
"SL201129051",,,"7","90E",,,,,"2011-02-18T23:47:28.000","7399-26","PUBLIC ORDER",,
"SL201129451","SALT LAKE CITY",,"7","90J",,,,,"2011-02-19T19:52:58.000","5707-0","INV OF PRIVACY",,
"SL201129488","SALT LAKE CITY","4","7","0",,,"DTN","113","2011-02-19T21:08:24.000","5499-8","TRAFFIC","1891108","886189"
"SL201129622",,,"1","90Z",,,,,"2011-02-20T02:12:53.000","4902-0","ESCAPE",,
"SL201129966","KAYSVILLE",,"1","90Z",,,,,"2011-02-20T18:31:10.000","4902-0","ESCAPE",,
"SL2011800164",,,"1","0",,,,,,"5399-28","PUBLIC PEACE",,
"SL201130286",,,"2","0",,,"B5","236","2011-02-21T13:46:57.000","5499-7","TRAFFIC","1908448","871489"
"SL201130762","WEST JORDAN","SL","3","90Z",,,"48","48","2011-02-22T12:42:02.000","4902-0","ESCAPE","1874464","833826"
"SL201131498",,,"4","13B",,,,,"2011-02-23T18:12:05.000","1313-0","ASSAULT",,
"SL201131356",,,"4","90Z",,,,,"2011-02-23T13:54:58.000","4902-0","ESCAPE",,
"SL201132021","SALT LAKE CITY","7","5","23C",,,"B5","235","2011-02-24T18:09:21.000","2303-0","LARCENY","1900699","863601"
"SL201132292",,,"6","0",,,,,"2011-02-25T07:55:37.000","5499-6","TRAFFIC",,
"SL201133681","SALT LAKE CITY","5","1","90Z",,,"LIW","234","2011-02-27T15:43:48.000","4902-0","ESCAPE","1893372","872062"
"SL2011800358","SALT LAKE CITY","5","4","23F","1300 S 700 E                                                                                             ",,"LIW","232",,"2305-0","LARCENY","1897354","877424"
"SL201160755","SALT LAKE CITY","1","6","0",,,"A3","133","2011-04-15T11:49:42.000","7399-1","PUBLIC ORDER","1866905","891511"
"SL201161771",,,"7","0",,,,,"2011-04-16T23:24:29.000","5499-6","TRAFFIC",,
"SL201162214","ST GEORGE",,"1","90Z",,,,,"2011-04-17T18:51:28.000","4902-0","ESCAPE",,
"SL2011800371","SALT LAKE CITY","SL","1","0",,,"40","40",,"7399-6","PUBLIC ORDER","1869739","890270"
"SL201162577","SALT LAKE CITY","1","2","13C",,,"JOM","133","2011-04-18T13:16:08.000","1316-3","ASSAULT","1877236","889605"
"SL201162976","SOUTH SALT LAKE","SL","3","90J",,,"42","42","2011-04-19T08:41:08.000","5707-0","INV OF PRIVACY","1889240","870226"
"SL201163293","SALT LAKE CITY","7","3","90D",,,"SUG","235","2011-04-19T17:41:58.000","5499-44","TRAFFIC","1898961","869398"
"SL201163367","SALT LAKE CITY",,"3","90G",,,,,"2011-04-19T20:42:41.000","4104-0","LIQUOR",,
"SL201163659","WEST JORDAN","SL","4","0",,,"48","48","2011-04-20T12:01:43.000","7399-0","PUBLIC ORDER","1873023","826672"
"SL201163674","MURRAY","SL","4","40A",,,"45","45","2011-04-20T12:31:15.000","4004-3","COMMERCIAL SEX","1886386","845328"
"SL201164253","SALT LAKE CITY",,"5","290",,,"A5","154","2011-04-21T13:24:58.000","2902-0","DAMAGED PROP","1862124","882481"
"SL201165017","SALT LAKE CITY",,"6","0",,,,,"2011-04-22T17:35:01.000","5399-18","PUBLIC PEACE",,
"SL201166004","SALT LAKE CITY","1","1","0",,,"A3","133","2011-04-24T16:24:08.000","7399-1","PUBLIC ORDER","1866905","891511"
"SL201166053","SALT LAKE CITY","1","1","90C",,,"WES","131","2011-04-24T18:37:08.000","7299-2","MORALS-DECENCY","1879737","899266"
"SL2011116903","WEST VALLEY CITY","SL","1","26B",,,"43","43","2011-07-18T16:09:34.000","2605-0","FRAUD","1878569","869515"
"SL201166227","SALT LAKE CITY","7","2","26C",,,"B5","235","2011-04-25T08:49:51.000","2699-1","FRAUD","1898530","867211"
"SL201166407","SALT LAKE CITY","1","2","0",,,"A3","133","2011-04-25T15:26:48.000","7399-5","PUBLIC ORDER","1866905","891511"
"SL201166579",,,"2","0",,,,,"2011-04-25T21:33:21.000","5499-12","TRAFFIC",,
"SL201166849","SALT LAKE CITY",,"3","90A",,,,,"2011-04-26T14:12:33.000","2606-0","FRAUD",,
"SL2011800382",,,"5","23F",,,,,,"2305-0","LARCENY",,
"SL201169170","NORTH SALT LAKE",,"7","0",,,,"INV","2011-04-30T19:53:10.000","5499-2","TRAFFIC",,
"SL201168982","SALT LAKE CITY",,"7","0",,,"B5","236","2011-04-30T13:34:51.000","5499-7","TRAFFIC","1902716","863107"
"SL201169752",,,"1","0",,,,,"2011-05-01T23:26:16.000","5499-6","TRAFFIC",,
"SL201170441","SALT LAKE CITY","1","3","0",,,"A3","133","2011-05-03T05:27:49.000","5499-5","TRAFFIC","1866905","891511"
"SL201170710","SALT LAKE CITY","4","3","90Z",,,"B1","212","2011-05-03T15:03:31.000","3599-99","DRUGS","1893430","885973"
"SL2011800518","SALT LAKE CITY","3","3","0","800 E 1ST AVE                                                                                           ",,"AVE","211",,"7399-6","PUBLIC ORDER","1898953","887945"
"SL201170704","SALT LAKE CITY","4","4","90Z",,,"B1","212","2011-05-03T15:02:08.000","3599-99","DRUGS","1893430","885973"
"SL201175237","SALT LAKE CITY","1","4","90Z",,,"A3","133","2011-05-11T12:39:16.000","4902-0","ESCAPE","1866905","891511"
"SL201175622",,,"4","0",,,,,"2011-05-12T00:11:44.000","5499-5","TRAFFIC",,
"SL201176424","SALT LAKE CITY","2","4","23H",,,"WSL","154","2011-05-13T11:52:37.000","2309-0","LARCENY","1872224","879070"
"SL201175792",,,"5","290",,,,,"2011-05-12T10:35:50.000","2903-0","DAMAGED PROP",,
"SL201175975","SALT LAKE CITY","1","5","290",,,"A3","133","2011-05-12T16:21:06.000","2901-0","DAMAGED PROP","1866905","891511"
"SL201176356","SALT LAKE CITY","1","6","0",,,"A3","133","2011-05-13T09:22:01.000","5499-84","TRAFFIC","1866905","891511"
"SL201176840","SALT LAKE CITY",,"6","90D",,,,,"2011-05-13T23:39:56.000","5404-0","TRAFFIC",,
"SL201176908",,,"7","90Z",,,,,"2011-05-14T01:54:37.000","4902-0","ESCAPE",,
"SL201177451","SALT LAKE CITY","1","1","0",,,"JOM","133","2011-05-15T00:33:03.000","7399-99","PUBLIC ORDER","1866905","891511"
"SL2011800913","SALT LAKE CITY","A","1","0","000 8TH AVE                                                                                             ",,"AVE","211",,"7399-6","PUBLIC ORDER","1894810","890890"
"SL2011131105",,,"3","0",,,,,"2011-08-09T00:13:54.000","5499-6","TRAFFIC",,
"SL2011131488",,,"3","90G",,,,,"2011-08-09T16:38:21.000","4104-0","LIQUOR",,
"SL2011132351","SALT LAKE CITY",,"4","0",,,,,"2011-08-10T22:23:26.000","7399-11","PUBLIC ORDER",,
"SL2011132674","MIDVALE","SL","5","0",,,"47","47","2011-08-11T14:13:19.000","7399-0","PUBLIC ORDER","1888461","826975"
"SL2011134330","SALT LAKE CITY","1","7","23H",,,"JOM","133","2011-08-13T21:54:37.000","2309-0","LARCENY","1877235","889278"
"SL2011136093","SALT LAKE CITY",,"4","35A",,,"WSL","154","2011-08-16T21:16:16.000","3560-0","DRUGS","1877573","877173"
