"address","case","city","council","day_of_week","ibr_code","occ_date","police_grid","police_zone","report_date","ucr_code","ucr_description","x_coordinate","y_coordinate"
"1300 W STETSON WAY","SL2013159","SALT LAKE CITY","2","3","90Z","2013-01-01T05:49:00.000","123","Z2","2013-01-01T05:49:00.000","4902-0","ESCAPE","1880811","874603"
"1100 S 300 W","SL2013363","SALT LAKE CITY","5","3","90Z","2013-01-01T17:43:00.000","152","Z5","2013-01-01T17:43:00.000","4902-0","ESCAPE","1889433","878648"
"1200 N MANDALAY RD","SL2013444","SALT LAKE CITY","1","3","0","2013-01-01T21:24:00.000","111","Z1","2013-01-01T21:24:00.000","7399-11","PUBLIC ORDER","1876833","897773"
"1100 E 2100 S","SL2013438","SALT LAKE CITY","7","3","220","2013-01-01T21:09:00.000","163","Z6","2013-01-01T21:09:00.000","2203-0","BURGLARY","1900785","871490"
"800 E 300 S","SL2013593","SALT LAKE CITY","4","3","240","2013-01-01T19:00:00.000","143","Z4","2013-01-02T09:49:00.000","2499-13","STOLEN VEHICLE","1898396","885132"
"1700 W 400 N","SL2013467","SALT LAKE CITY","1","3","240","2013-01-01T18:00:00.000","113","Z1","2013-01-01T22:49:00.000","2499-17","STOLEN VEHICLE","1878327","890862"
"1100 S 300 W","SL2013275","SALT LAKE CITY","5","3","23C","2013-01-01T13:20:00.000","152","Z5","2013-01-01T13:20:00.000","2303-0","LARCENY","1889433","878648"
"1100 S 300 W","SL2013319","SALT LAKE CITY","5","3","23C","2013-01-01T16:12:00.000","152","Z5","2013-01-01T16:12:00.000","2303-0","LARCENY","1889433","878648"
"700 W NORTH TEMPLE ST","SL2013379","SALT LAKE CITY","2","3","90E","2013-01-01T18:24:00.000","112","Z1","2013-01-01T18:24:00.000","7399-27","PUBLIC ORDER","1885902","888419"
"300 S RIO GRANDE ST","SL2013382","SALT LAKE CITY","4","3","120","2013-01-01T18:10:00.000","132","Z3","2013-01-01T18:38:00.000","1204-0","ROBBERY","1888235","885137"
"500 W 200 S","SL2013390","SALT LAKE CITY","4","3","23D","2013-01-01T18:20:00.000","132","Z3","2013-01-01T19:02:00.000","2308-0","LARCENY","1887322","885967"
"1100 S 300 W","SL2013415","SALT LAKE CITY","5","3","23C","2013-01-01T20:38:00.000","152","Z5","2013-01-01T20:38:00.000","2303-0","LARCENY","1889433","878648"
"500 S 1300 E","SL2013441","SALT LAKE CITY","4","3","13B","2013-01-01T02:30:00.000","151","Z5","2013-01-01T21:19:00.000","1313-0","ASSAULT","1902135","883119"
"1800 W BRIDGE CREST CIR","SL2013465","SALT LAKE CITY","1","3","290","2013-01-01T22:43:00.000","111","Z1","2013-01-01T22:43:00.000","2902-1","DAMAGED PROP","1876931","900707"
"500 W 200 S","SL201348","SALT LAKE CITY","4","3","23D","2013-01-01T01:10:00.000","132","Z3","2013-01-01T01:10:00.000","2308-0","LARCENY","1887463","886027"
"900 N DOROTHEA WAY","SL2013648","SALT LAKE CITY","1","3","13B","2013-01-01T23:00:00.000","111","Z1","2013-01-02T12:12:00.000","1313-0","ASSAULT","1877098","895125"
"5400 W 700 S","SL2013563","SALT LAKE CITY","2","3","23G","2013-01-01T20:26:00.000","124","Z2","2013-01-02T08:55:00.000","2304-0","LARCENY","1855932","882415"
